Name;URL;Description;Category;Attack Type;Encryption Type;noteworthy
Probr-analysis;https://github.com/probr/probr-analysis/;Analysis components for the probr WiFi tracking system;Misc;;;
Probr-core;https://github.com/probr/probr-core/;The core-component for generic WiFi tracking: remote device management, packet capturing, packet storage;Lib;;;
PwnPi;https://sourceforge.net/projects/pwnpi/;A Linux-based penetration testing dropbox distribution for the Raspberry Pi.;;;;
PwnSTAR;https://github.com/SilverFoxx/PwnSTAR/;PwnSTAR (Pwn SofT-Ap scRipt) - for all your fake-AP needs;Attack;RogueAP;;
py_DD_WRT_Remote_Mac_Adder;https://github.com/mzhaase/py_DD_WRT_Remote_Mac_Adder/;Python Script to remotely update mac filterlists of DD-WRT routers with wl or atheros wifi drivers;Misc;;;
py80211;https://github.com/0x90/py80211/;Suite of libraries for parsing 802.11 packets as well as managing wireless cards and working with 802.11 information;Lib;;;
pykismetkml;https://code.google.com/archive/p/pykismetkml/wikis/pykismetkml.wiki/;Python script designed to export .gps and .xml files (in < Kismet RC1) to .kml files and .netxml files to .kml files in => Kismet RC2;Misc;;;
pykismetstats;https://github.com/0x90/pykismetstats/;Pykismetstats parses NetXML file generated by kismet and write statistics to CSV file.;Misc;;;
pylorcon2;https://github.com/tom5760/pylorcon2/;Pure Python wrapper for the LORCON library. ;Attack;Injection;;
pyrcrack;https://github.com/XayOn/pyrcrack/;Python Aircrack-ng;Attack;Encryption;WPA/WPA2;
pyReaver;https://github.com/byt3bl33d3r/pyReaver/;WPS attack tool written in Python;Attack;Encryption;WPS;
PyRIC;https://github.com/wraith-wireless/PyRIC/;PyRIC (is a Linux only) library providing wireless developers and pentesters the ability to identify, enumerate and manipulate their system's wireless cards programmatically in Python.;Lib;;;
pyrit;https://github.com/JPaulMora/Pyrit/;The famous WPA precomputed cracker, Migrated from Google;Attack;Encryption;WPA/WPA2;Note
PyScapy;https://github.com/ogreworld/PyScapy/;This is a package of using scapy.;Misc;;;
Python Wi-Fi Positioning System;https://github.com/initbrain/Python-Wi-Fi-Positioning-System/;Python Wi-Fi Positioning System - Wi-Fi geolocation script using the Google Geolocation API ;Location;;;
Python-kismet;https://code.google.com/archive/p/python-kismet/;Python threaded listener to Kismet broadcasts;Defend;;;
Python-radiotap;https://github.com/bcopeland/python-radiotap/;Tiny lib for parsing radiotap/802.11 headers in python ;Lib;;;
python-wifi;https://pypi.python.org/pypi/python-wifi/;Python WiFi is a Python module that provides read and write access to a wireless network card's capabilities using the Linux Wireless Extensions.;Lib;;;
Python-wireless-attacks;https://github.com/jordan-wright/python-wireless-attacks/;Wireless Attacks in Python (Based on blog series);Attack;;;
python3-wifi;https://github.com/llazzaro/python3-wifi/;Python WiFi is a Python module that provides read and write access to a wireless network card's capabilities using the Linux Wireless Extensions.;Lib;;;
pythonAir;https://github.com/Slickness/pythonAir/;Flask/aircrack;Attack;Encryption;WPA/WPA2;
PyWiWi;https://github.com/6e726d/PyWiWi/;Python Windows Wifi;Config;;;
pyWPSLocation;https://github.com/akrv/pyWPSLocalisation/;Using Python for localisation using Google Geolocation API (GGAPI) and WiFi Positioning System (WPS);Location;;;
pyxiewps_WPShack-Python;https://github.com/jgilhutton/pyxiewps_WPShack-Python/;Wireless attack tool written in python that uses reaver, pixiewps and aircrack to retrieve the WPS pin of any vulnerable AP in seconds;Attack;Encryption;WPS;
Qca-swiss-army-knife;https://github.com/mcgrof/qca-swiss-army-knife/;Hosts a set of utilities that we use to debug / help with our driver development;Lib;;;
Radioparse;https://github.com/AlexanderSelzer/Radioparse/;A WiFi protocol parser that can be used with radiotap packets and node-pcap;Lib;;;
react80211;https://github.com/fabriziogiuliano/react80211/;Solution for mitigating the performance impairments of CSMA/CA protocols in multi-hop topologies based on the dynamic adaptation of the contention process experienced by nodes in a wireless network;Misc;;;
reaver_reattempt;https://github.com/kurobeats/reaver_reattempt/;Change the Mac address of the wifi connection as well as the emulated one created by airmon-ng in an attempt to avoid being locked out of routers for repeated WPS attack attempts;Attack;Encryption;WPS;
Reaver-ui;https://github.com/deoxxa/reaver-ui/;Hacky UI to wrap around reaver-wps ;Attack;Encryption;WPS;
Reaver-webui;https://github.com/fopina/reaver-webui/;Simple WebUI to crack wireless networks using reaver;Attack;Encryption;WPS;
Reaver-wps;https://github.com/gabrielrcouto/reaver-wps/;Brute force attack against Wifi Protected Setup ;Attack;Encryption;WPS;
Reaver-wps-fork-t6x;https://github.com/t6x/reaver-wps-fork-t6x/;Community forked version which includes various bug fixes, new features and additional attack method (such as the offline Pixie Dust attack);Attack;Encryption;WPS;
reghack;https://github.com/0x90/wifi-arsenal/tree/master/lowlevel/reghack/;Replaces the regulatory domain rules in the driver binaries with less restrictive ones;Config;;;
RegMon;https://github.com/thuehn/RegMon/;RegMon is a Atheros WiFi card register monitoring tool for Linux OpenWrt;Config;;;
remoteapd;https://github.com/mengning/remoteapd/;Remote NL80211-Extent driver for Hostapd 2.0;Config;;;
resfi;https://github.com/resfi/resfi/;Framework supporting creation of RRM functionality in residential WiFi deployments;Config;;;
rifsniff;https://github.com/dappiu/rifsniff/;Remote Interface Sniffer;Attack;Sniff;;
rogue_ap;https://github.com/andrew14824/rogue_ap/;RogueAP_hostapd.py is a script designed to create a Rogue Access Point;Attack;RogueAP;;
rogueap;https://github.com/wouter-glasswall/rogueap/;Start a rogue access point with no effort, with support for hostapd, airbase, sslstrip, sslsplit, tcpdump builtin;Attack;RogueAP;;
rogueDetect;https://github.com/olanb7/rogueDetect/;;Attack;RogueAP;;
RogueDetection;https://github.com/baggybin/RogueDetection/;Rogue Access Point Detection and WIDS;Defend;;;
RogueSploit;https://github.com/H0nus/RogueSploit/;Powerfull Wi-Fi trap;Attack;RogueAP;;
rollmac;https://github.com/violentshell/rollmac/;Automated WiFi limit evasion;Config;;;
Rollmac;https://github.com/violentshell/Rollmac/;Automated WiFi limit evasion;Misc;;;
Rspoof;https://github.com/zackiles/Rspoof/;Wifi Automated Fake HotSpot Hijacking with aicrack-ng, airbase, ssl-strip, and dns spoof in Python;Attack;RogueAP;;
rssi;https://github.com/AravinthPanch/rssi/;Indoor localisation using RSSI. RSSI is received signal strength indicator in IEEE 802.11 beacon packet to announce the presence of WiFi;InfoGath;;;
RT73-USB-Wireless-;https://github.com/Marchrius/RT73-USB-Wireless-/;Patched version of RT73USBWireless for Yosemite;Config;;;
RTL8188-hostapd;https://github.com/jenssegers/RTL8188-hostapd/;Hostapd for Realtek RTL8188;Config;;;
Scapy;https://github.com/secdev/scapy;Python-based interactive packet manipulation program & library;Lib;;;Note
Scapy-deauth;https://github.com/catalyst256/MyJunk/blob/master/scapy-deauth.py/;Scapy based wifi Deauth;Attack;DoS;;
Scapy-fakeap;https://github.com/rpp0/scapy-fakeap/;Fake wireless Access Point (AP) implementation using Python and Scapy;Attack;RogueAP;;
Scapy-rssi;https://github.com/azz2k/scapy-rssi/;Example of how to read RSSI values from wifi packaged using Scapy;Misc;;;
Scapy-survey;https://github.com/tuomasb/scapy-survey/;802.11 signal strength logger using Scapy;Monitoring;;;
Scapy-wireless-scanner;https://github.com/rahilsharma/Scapy-wireless-scanner/;Simple wireless scanner built using Scapy Library;Attack;Sniff;;
scapybase;https://github.com/jahrome/scapybase/;802.11 monitor AP based on scapy;Monitoring;;;
ScapyGELFtoGraylog2;https://github.com/wouterbudding/ScapyGELFtoGraylog2/;Sniff some 802.11 packages and send the date and MAC with GELF UDP to Graylog2;Attack;Sniff;;
Secpi;https://github.com/nrohsak/Secpi/;Python based script for wifi pentesting on the RasPi;Attack;;;
setbssid;https://github.com/sheenhx/setbssid/;Modify the MAC80211 layer in Linux Kernel;Misc;;;
sigmon;https://github.com/tecknowledge/sigmon/;Modular WiFi/RF Monitoring and Analysis Implementation;Monitoring;;;
ska;https://github.com/0x90/wifi-arsenal/tree/master/ska/;Framework for sniffing ieee80211 packets and generating deauth packets and sending raw packets.;Attack;DoS;;
skybluetero;https://code.google.com/archive/p/skybluetero/;802.11b/g packet airtime consumption analyzer GUI for Linux;Misc;;;
Sly-fi;https://github.com/sinistermachine/sly-fi/;Wifi pwnage automation;Attack;;;
smoothie;https://github.com/XayOn/smoothie/;Web based wireless auditory tools;Attack;;;
snifflab;https://github.com/andrewhilts/snifflab/;Scripts to create your own MITM'ing, packet sniffing WiFi access point ;Attack;RogueAP;;
sniffmypackets;https://github.com/catalyst256/sniffMyPackets/;Canari package for pcap file analysis within Maltego;Misc;;;
Snoopy-ng;https://github.com/sensepost/snoopy-ng/;Snoopy v2.0 - modular digital terrestrial tracking framework;Misc;;;
speccy;https://github.com/bcopeland/speccy/;Visualization tool for ath spectral scan;Visual;;;
spectrum.py;https://github.com/0x90/wifi-arsenal/blob/master/spectrum.py/;;Misc;;;
SSIDentity;https://github.com/SamClarke2012/SSIDentity/;Passive sniffing of 802.11 probe requests, stored in a central database.;Attack;Sniff;;
startools;https://github.com/sa7mon/startools/;To use a RasPi to do an Evil Twin attack and capture 802.1x RADIUS creds;Attack;RogueAP;;
TCP-SeqNum;https://github.com/bwoolf1122/TCP-SeqNum/;Means to sniff 802.11 traffic and obtain TCP session info using netfiter_queue. Use that data to construct a packet in scappy. ;Attack;Sniff;;
Uniband-installer;https://github.com/wi-fi-analyzer/uniband-installer/;Wireless monitoring framework to help using kismet dumpcap and horst (installation files);Monitoring;;;
uploadwpa;https://github.com/Alf-Alfa/uploadwpa/;This module will upload a wpa handshake from a single capture file to an online hash cracker site;Attack;Encryption;WPA/WPA2;
VX;https://github.com/hellais/VX/;It might be fun to play tricks on somebody trying to crack your WEP protected router;Misc;;;
waidps;https://github.com/SYWorks/waidps/;Wireless Auditing, Intrusion Detection & Prevention System;Defend;;;Note
wallofshame;https://github.com/0x0d/wallofshame/;Multi protocol sniffer, created for ChaosConstruction conference HackSpace;Attack;Sniff;;
WAPMap;https://github.com/pan0pt1c0n/WAPMap/;Parse Kismet .netxml output and then return a CSV file that can be uploaded to Google Maps Engine to map WEP or OPEN networks;Attack;Wardriving;;
warcarrier;https://github.com/0x90/warcarrier/;An NCURSES-based, all-in-one instrument panel for professional Wardriving;Attack;Wardriving;;
Watcher;https://github.com/catalyst256/Watcher/;Canari framework based Maltego transform pack that allows you to perform wireless sniffing within Maltego;Attack;Sniff;;
Wave;https://github.com/hkparker/Wave/;802.11 IDS, visualizer, and analytics platform for the web;Defend;;;
Wbc-utils;https://github.com/skullkey/wbc-utils/;Couple of hacked together utils for use with the wifibroadcast system by befinitiv;Misc;;;
WHAT-PRO;https://github.com/smoz1986/WHAT-PRO/;802.11 Exploitation Tool for use with Kali 2. More tools available than WHAT or WHAT Pi ;Attack;;;
whereami;https://github.com/kootenpv/whereami/;Uses WiFi signals 📶 and machine learning to predict where you are ;Location;;;
whoishere;https://github.com/hkm/whoishere.py/;WIFI Client Detection - Identify people by assigning a name to a device performing a wireless probe request.;InfoGath;;;
Wi-door;https://github.com/Vivek-Ramachandran/wi-door/;Wi-Fi Backdoors;Attack;;;
Wi-finder;https://github.com/romebop/wi-finder/;Wi-Fi hotspot finder;Location;;;
wi5-aggregation;https://github.com/Wi5/wi5-aggregation/;Implementing and testing 802.11 frame aggregation (A-MPDU) ;Misc;;;
WIDSTT;https://github.com/0x90/wifi-arsenal/blob/master/Wireless%20IDS%20Tool.py/;Wireless Intrusion Detection Systems Testing Tool – test your WIDS by performing attacks;Attack;;;
wifi;https://github.com/rockymeza/wifi/;[unmaintained] WiFi tools for linux http://pypi.python.org/pypi/wifi;Misc;;;
wifi_based_population_estimator;https://github.com/siriuxy/wifi_based_population_estimator/;This is a piece of glueware that sticks up different components from hardware detection to real-time web display.;Misc;;;
wifi_beacons;https://github.com/abnarain/wifi_beacons/;;;;;
wifi_decode;https://github.com/cmpxchg8/wifi_decode/;Wireless Key Dumper for Windows;Misc;;;
wifi_dump_parser-v3;https://github.com/abnarain/wifi_dump_parser-v3/;Is the modified parser for the new data set collected using Wifi-dump;Misc;;;
wifi_dump-tmpfs;https://github.com/abnarain/wifi_dump-tmpfs/;Dumps wifi data ;Misc;;;
wifi_honey;https://github.com/0x90/wifi-arsenal/tree/master/wifi_honey/;Setting up four fake access points, each with a different type of encryption, None, WEP, WPA and WPA2 and the seeing which of the four the client connects to;Attack;RogueAP;;
wifi_statistics;https://github.com/simonwunderlich/wifi_statistics/;Linux kernel module to gather wifi statistics from peer and non-peer STAs ;Misc;;;
Wifi_Trojans;https://github.com/ahhh/Wifi_Trojans/;Collection of wireless based bind and reverse connect shells for penetration testers;Attack;RogueAP;;
WiFi-802.11-Demo-Sniffer;https://github.com/dcrisan/WiFi-802.11-Demo-Sniffer/;This 802.11 sniffer written in Python provides a useful tool to raise awareness at the amount of data phones release for anyone to read. ;Attack;Sniff;;
WiFi-Analyzer;https://github.com/b00sti/WiFi-Analyzer/;Analyzer 802.11 networks - android app [to refactor] ;Misc;;;
Wifi-ap;https://github.com/foosel/wifi-ap/;Library wrapper around hostapd and dnsmasq and their respective configuration files that allows for programmatically creating access points in Debian-based Linux environments;Config;;;
WiFi-autopwner;https://github.com/Mi-Al/WiFi-autopwner/;Script to automate searching and auditing Wi-Fi networks with weak security;Attack;Encryption;WPA/WPA2;
Wifi-beeper;https://github.com/tillwo/wifi-beeper/;Linux command-line tool to make WLAN frames audible;Misc;;;
Wifi-bruteforcer-fsecurify;https://github.com/faizann24/wifi-bruteforcer-fsecurify/;Android application to brute force WiFi passwords without requiring a rooted device;Attack;Encryption;WPA/WPA2;
Wifi-contour;https://github.com/bertabus/wifi-contour/;A contour mapping program of wireless 802.11 signal strength;Visual;;;
wifi-default-password;https://bitbucket.org/jpgerek/wifi-default-password/;Bash script that tries all the default passwords for a particular wifi access point;Attack;;;
Wifi-dump-analysis;https://github.com/abnarain/wifi-dump-analysis/;Processing wireless traces from binary files written and read in custom format.;Misc;;;
Wifi-Dumper;https://github.com/Viralmaniar/Wifi-Dumper/;Dump the wifi profiles and cleartext passwords of the connected access points on the Windows machine;InfoGath;;;
Wifi-frequency-hacker;https://github.com/singe/wifi-frequency-hacker/;A modified frequency regulatory domain configuration that doesn't limit you. ;Config;;;
Wifi-geolocation;https://github.com/genekogan/wifi_geolocation/;Get your latitude/longitude via wifi access points;Location;;;
Wifi-hacker;https://github.com/esc0rtd3w/wifi-hacker/;Shell Script For Attacking Wireless Connections Using Built-In Kali Tools. Supports All Securities (WEP, WPS, WPA, WPA2) ;Attack;Encryption;WPA/WPA2;
Wifi-harvester;https://github.com/SYWorks/wifi-harvester/;For collecting probed SSID name by wireless devices, Access point detail and connected clients.;Attack;Sniff;;
Wifi-heatmap;https://github.com/beaugunderson/wifi-heatmap/;Generate heatmaps of wifi coverage with Python;Visual;;;
Wifi-linux;https://github.com/dixel/wifi-linux/;Simple python script to monitor access point signal strength.;Monitoring;;;
Wifi-localization;https://github.com/utexas-air-fri/wifi_localization/;Wifi Localization using a map and reference;Location;;;
Wifi-locator;https://github.com/clockfort/wifi-locator/;Determines physical location of station judging from 802.11 beacons' BSSID/Signal/Noise/Quality information.;Location;;;
Wifi-monitor;https://github.com/eye9poob/Wifi-monitor/;Prints the IPs on your local network that're sending the most packets ack = 802.11 control frame acknowledgement or …;InfoGath;;;
Wifi-monitor;https://github.com/dave5623/wifi_monitor/;;Monitoring;;;
Wifi-monitor;https://github.com/tadashi/wifi-monitor/;Python, py_libpcap, handover ;Monitoring;;;
Wifi-pentesting;https://github.com/baldwmic/wifi-pentesting/;Wifi Penetration Testing of Home Network;Config;;;
WiFi-Pumpkin;https://github.com/P0cL4bs/WiFi-Pumpkin/;Framework for Rogue Wi-Fi Access Point Attack;Attack;RogueAP;;Note
WiFi-Rifle;https://github.com/sensepost/WiFi-Rifle/;Creating a wireless rifle de-authentication gun, which utilized a yagi antenna and a Raspberry Pi;Attack;DoS;;
Wifi-scan;https://bitbucket.org/edkeeble/wifi-scan/;Short python script scans for probe requests from whitelisted WiFi clients;Attack;Sniff;;
Wifi-scan;https://github.com/bmegli/wifi-scan/;A nl80211 C/C++ library for monitoring signal strength of WiFi networks;Lib;;;
WiFi-scheduling;https://github.com/UtkMSNL/WiFi-scheduling/;This project evaluates the efficiency and overhead of wireless network scheduling;Misc;;;
wifi-scripts;https://github.com/0x90/wifi-scripts;Misc scripts and tools for WiFi;Lib;;;
Wifi-Signal-Plotter;https://github.com/s7jones/Wifi-Signal-Plotter/;A Python script for graphing and comparing the WiFi signal strengths between WiFi adaptors in Windows or Linux.;Visual;;;
Wifi-test;https://github.com/0x90/wifi-arsenal/tree/master/wifi-test/;;;;;
WifiAttack;https://github.com/AbbySec/WifiAttack/;;Attack;;;
wificracking;https://github.com/brannondorsey/wifi-cracking/;Crack WPA/WPA2 Wi-Fi Routers with Airodump-ng and Aircrack-ng/Hashcat;Attack;Encryption;WPA/WPA2;
wificurse;https://github.com/0x90/wifi-arsenal/tree/master/wificurse/;WiFi DoS attack tool created for educational purposes only. It works only in Linux and requires wireless card drivers capable of injecting packets in wireless networks;Attack;DoS;;
WifiDeauth;https://github.com/Revimal/WifiDeauth/;A lightweight Wi-Fi auto deauthentication attack tool (libtins/C++);Attack;DoS;;
wifidec;https://github.com/twitchyliquid64/wifidec/;Repository for scriptz playing around with decoding elements of the Wifi stack (mainly Radiotap and 802.11 frames);Misc;;;
WifiDirectLinux;https://github.com/arplote/WifiDirectLinux/;Use p2p with Wifi Direct on Linux;Misc;;;
Wifidog-gateway;https://github.com/wifidog/wifidog-gateway/;Repository for the wifidog-gateway captive portal designed for embedded systems;Misc;;;
wifihisicipy;https://github.com/saljam/wifihisicipy/; Temporarily runs a wifi hotspot and a 'captive portal' to let you choose a permanent wireless network to connect to.;Misc;;;
wifijamMac;https://github.com/rajkotraja/wifiJamMac/;Allows you to select one or more nearby wireless networks, thereupon presenting a list of clients which are currently active on the network(s);Attack;Sniff;;
wifijammer;https://github.com/DanMcInerney/wifijammer/;Continuously jam all wifi clients/routers;Attack;DoS;;
wifikicker;https://github.com/viluhaxor/wifikicker;A tool to kick devices out of your network and enjoy all the bandwidth for yourself. It allows you to select specific or all devices and ARP spoofs them off your local area network;Attack;DoS;;
Wifimon;https://github.com/Wifimon/Wifimon/;Wi-fi 802.11 Beacon Frame sniffer;Attack;Sniff;;
wifimonster;https://github.com/flankerhqd/wifimonster/;Wifi sniffing and hijacking tool;Attack;;;
wifiphisher;https://github.com/wifiphisher/wifiphisher/;Automated victim-customized phishing attacks against Wi-Fi clients;Attack;RogueAP;;
wifirxpower;https://github.com/cnlohr/wifirxpower/;Linux-based WiFi RX Power Grapher;Misc;;;
WifiScanAndMap;https://github.com/cyberpython/WifiScanAndMap/;A Linux Python application to create maps of 802.11 networks;Attack;Wardriving;;
wifiScanMap;https://github.com/mehdilauters/wifiScanMap/;An other wifi mapping tool;Misc;;;
wifiscanvisualizer;https://github.com/securitytube/wifiscanvisualizer/;Wi-Fi Scan Visualizer by Pentester Academy ;Visual;;;
wifisoftap;https://github.com/coolshou/wifisoftap/;;Attack;RogueAP;;
wifispy;https://github.com/Geovation/wifispy/;Sniff Wifi traffic, log device addresses;Attack;Sniff;;
WiFiStat;https://github.com/MarkLalor/WiFiStat;Python tool to assess WiFi connection throughput and latency;Monitoring;;;
wifitap;https://github.com/viscousliquid/wifitap/;WiFi injection tool through tun/tap device;Attack;Injection;;
wifite;https://github.com/derv82/wifite/;An automated wireless attack tool;Attack;Encryption;WPA/WPA2;
Wifite-mod-pixiewps;https://github.com/aanarchyy/wifite-mod-pixiewps/;Wifite with PixieWPS support;Attack;Encryption;WPA/WPA2;
Wifite-openwrt;https://github.com/kbeflo/wifite-openwrt/;Wifite for the WiFi Pineapple NANO + TETRA (Chaos Calmer - openWrt) ;Attack;Encryption;WPA/WPA2;
wifite2;https://github.com/derv82/wifite2/;Python script for auditing wireless networks;Attack;Encryption;WPA/WPA2;
wifitracker;https://github.com/DHNishi/wifitracker/;Raspberry Pi Wifi Tracking API;Misc;;;
WifiTrafficAnalyzer;https://github.com/Bob-King/WifiTrafficAnalyzer/;;Misc;;;
wifivis;https://github.com/mitdbg/wifivis/;Visualize some mit wifi access point data;Visual;;;
wifiwho;https://github.com/meeuw/wifiwho/;;;;;
wifresti;https://github.com/LionSec/wifresti/;Find your wireless network password in Windows , Linux and Mac OS;Misc;;;
wifuzz;https://github.com/0x90/wifuzz/;Access Point 802.11 stack fuzzer;Attack;;;
wifuzzit;https://github.com/0xd012/wifuzzit/;A 802.11 wireless fuzzer;Attack;;;
WIG;https://github.com/6e726d/WIG/;Tools for 802.11 information gathering. ;InfoGath;;;
Wikipedia;https://en.wikipedia.org/wiki/IEEE_802.11;IEEE802.11 site of Wikipedia;Info;;;
wime;https://github.com/anburocky3/wime/;Wifi password recover tool for Windows, Linux, Mac.;Misc;;;
win32wifi;https://github.com/kedos/win32wifi/;Python Windows Wifi;Misc;;;
wipi;https://github.com/dioh/wipi/;Visualize the WiFi packages that are floating around us all the time.;Visual;;;
WiPy;https://github.com/bliz937/WiPy/;Sends the WiFi signal strength from multiple clients to a central server. Built for Arch Linux ARM running on Raspberry pi 2;Monitoring;;;
wireless;https://github.com/joshvillbrandt/wireless/;Dead simple, cross-platform Python library to connect to wireless networks;Lib;;;
wireless_half-mini;https://github.com/toleda/wireless_half-mini/;MacOS Airport Half Mini (WiFi and Bluetooth);Misc;;;
wireless_RSSI;https://github.com/agnostino/wireless_RSSI/;;Misc;;;
Wireless-forensics-framework;https://github.com/nipunjaswal/Wireless-forensics-framework/;Automated Wireless Penetration Testing and Carrying out Wireless Forensics in Python;Defend;;;
Wireless-ids;https://github.com/SYWorks/wireless-ids/;Ability to detect suspicious activity such as (WEP/WPA/WPS) attack by sniffing the air for wireless packets;Defend;;;Note
Wireless-info;https://github.com/wlanslovenija/wireless-info/;Obtain information about wireless interfaces from MAC80211 stack;Attack;Sniff;;
Wireless-radar;https://github.com/stef/wireless-radar/;DF and other tools to explore a 2.4GHz environment;Attack;Sniff;;
Wireless-regdb;https://github.com/0x90/wireless-regdb/;Plain text version of the regulatory database file;info;;;
Wireless-Sniffer;https://github.com/gauravpatwardhan/Wireless-Sniffer/;A 802.11 wireless sniffer tool (c-based);Attack;Sniff;;
Wireless-tools;https://github.com/bakerface/wireless-tools/;Wireless tools for Node.js ;Misc;;;
WirelessConfig;https://github.com/acidprime/WirelessConfig/;A 802.1x Python wireless configuration tool with Cocoa wrappers;Config;;;
WIRELESSINFO;https://github.com/rgupta9/WIRELESSINFO/;Extract Important Data From Cisco Wireless Controllers;Misc;;;
wirelessjammer;https://github.com/phr34k0/wirelessjammer/;Continuously jam all wifi clients and access points within range;Attack;DoS;;
wit;https://github.com/substack/wit/;Command-line wifi manager for linux;Misc;;;
wiwo;https://github.com/CoreSecurity/wiwo/;Wiwo is a distributed 802.11 monitoring and injecting system that was designed to be simple and scalable;Attack;Injection;;
Wlan-macos;https://github.com/sbxfc/wlan-macos/;;;;;
WLAN-Monitoring;https://github.com/sajjanbh/WLAN-Monitoring/;Monitor our vicinity to monitor wireless devices and traffic;Monitoring;;;
Wlan-pos;https://github.com/0x90/wlan-pos/;Location fingerprinting and triangulation engine for WLAN (IEEE802.11,aka WiFi) environment.;Location;;;
Wlan-stats;https://github.com/hughobrien/wlan-stats/;Tool chain using tshark to pull data from pcaps, further process them in python, and graph the output in R. ;Visual;;;
wlandecrypter;https://github.com/wi-fi-analyzer/wlandecrypter/;Dictionary attack (spanish);Attack;Encryption;WPA/WPA2;
wmd;https://github.com/securestate/wmd/;Simple solution for the detection and location of Rogue Access Points.;Defend;;;
wmon;https://github.com/wmon/wmon/;A Wireless Network Monitor with advanced measurement capabilities. ;Monitoring;;;
wobs;https://github.com/observ3r/wobs/;Detects near-by devices such as cell phones, tablets, and laptops. Does this through 802.11, Bluetooth, cell phone protocols, etc…;Misc;;;
WPA_DECRYPTION_MPI;https://github.com/shagrath89m/WPA_DECRYPTION_MPI/;WPA/WPA2 for cluster processing;Attack;Encryption;WPA/WPA2;
Wpa-autopwn;https://github.com/vnik5287/wpa-autopwn/;WPA/WPA2 autopwn script that parses captured handshakes and sends them to the Crackq;Attack;Encryption;WPA/WPA2;
Wpa-bruteforcer;https://github.com/SYWorks/wpa-bruteforcer/;Attacking WPA/WPA encrypted access point without client. ;Attack;Encryption;WPA/WPA2;
WPA2-HalfHandshake-Crack;https://github.com/dxa4481/WPA2-HalfHandshake-Crack/;Capture enough of a handshake with a user from a fake AP to crack a WPA2 network without knowing the passphrase of the actual AP;Attack;Encryption;WPA/WPA2;
wpa2hc;https://github.com/historypeats/wpa2hc/;Quick script to automate converting WPA .cap files for Hashcat .hccap files. ;Attack;Encryption;WPA/WPA2;
wpacrack;https://github.com/derv82/wpacrack/;Open-source distributed Wifi-Protected Access (WPA) cracker;Attack;Encryption;WPA/WPA2;
WPAdiz;https://github.com/leminski/WPAdiz/;Bruteforce - New method for generate dictionaries (Wireless);Attack;Encryption;WPA/WPA2;
Wpe-parse;https://github.com/sa7mon/wpe-parse/;This is a simple parsing script to convert output from hostapd-wpe (which makes John the Ripper-formatted logs) to Hashcat format. ;Attack;Encryption;;
wperf;https://github.com/anyfi/wperf/;802.11 frame injection/reception tool for Linux mac80211 stack;Attack;Injection;;
wps;https://github.com/devttys0/wps/;WPS related utilities ;Attack;Encryption;WPS;
Wps-scripts;https://github.com/0x90/wps-scripts/;WPS hacking scripts;Attack;Encryption;WPS;
Wps-Ultimate-Cracker;https://github.com/younextvictim/Wps-Ultimate-Cracker/;This script will help help you to get the most of router in morocco by using pixiewps , reaver , aircrack-ng ,wifite ;Attack;Encryption;WPS;
wpscrack;https://github.com/ml31415/wpscrack/;Continuation of wpscrack originally written by Stefan Viehböck;Attack;Encryption;WPS;
WPSIG;https://www.coresecurity.com/corelabs-research/open-source-tools/wpsig;Simple tool (written in Python) that does information gathering using WPS information elements.;Attack;Encryption;WPS;
wpsoffline;https://bitbucket.org/dudux/wpsoffline/;PoC for routers vulnerable with WPS and deficiencies in their PRNG state;Attack;Encryption;WPS;
wraith;https://github.com/wraith-wireless/wraith/;Wireless Reconnaissance And Intelligent Target Harvesting;Defend;;;
wspy;https://github.com/Nan-Do/wspy/;Python tool to create a wireless ids it detects which clients are connected to a network to allow the creation of usage patterns of a netowrk by the clients;Defend;;;
wtf;https://github.com/cozybit/wtf/;Wireless Test Framework. Collection of test suites for validating various wifi functionality on various wifi devices.;Attack;;;
zarp;https://github.com/hatRiot/zarp/;Network attack tool centered around the exploitation of local networks;Attack;;;Note
zizzania;https://github.com/cyrus-and/zizzania/;Automated DeAuth attack;Attack;DoS;;
